url	type	title	desc
https://hamrahclinic.ir/	home	همراه کلینیک | فوق تخصصی قلب، آنکولوژی و شیمی‌درمانی تجریش	کلینیک فوق تخصصی همراه در تجریش تهران؛ قلب و عروق، آنکولوژی، شیمی‌درمانی، غدد، زخم و عفونی با تیم درمان چندتخصصی. رزرو نوبت: ۰۲۱۹۱۳۰۳۱۳۲
https://hamrahclinic.ir/about-us/	page	درباره همراه کلینیک | کلینیک فوق تخصصی تجریش تهران	داستان همراه کلینیک؛ مرکزی با رویکرد تیم درمان چندتخصصی در تجریش تهران که قلب، آنکولوژی، تغذیه و روان را در یک پرونده‌ی مشترک کنار هم قرار می‌دهد.
https://hamrahclinic.ir/contact-us/	page	تماس با همراه کلینیک | آدرس، تلفن و ساعات کاری	آدرس همراه کلینیک: تهران، خیابان شریعتی، نرسیده به میدان قدس، کوچه مهنا ۱، پلاک ۶. تلفن ۰۲۱۹۱۳۰۳۱۳۲. شنبه تا چهارشنبه ۸ تا ۲۰، پنجشنبه ۸ تا ۱۳.
https://hamrahclinic.ir/blog/	page	بلاگ سلامت همراه کلینیک | مقالات پزشکی تخصصی	مقالات علمی و کاربردی درباره‌ی بیماری‌های قلبی، شیمی‌درمانی، تغذیه و سلامت روان، نوشته‌ی پزشکان متخصص همراه کلینیک به زبان ساده و قابل فهم.
https://hamrahclinic.ir/team/	page	پزشکان همراه کلینیک | ۱۲ متخصص با بورد تخصصی	معرفی پزشکان همراه کلینیک؛ متخصصان قلب و عروق، آنکولوژی، خون، تغذیه، روان‌پزشکی و طب ایرانی با بورد تخصصی و شماره‌ی نظام پزشکی قابل استعلام.
https://hamrahclinic.ir/service/	page	خدمات همراه کلینیک | ۴۶ خدمت در ۹ کلینیک تخصصی	فهرست کامل خدمات همراه کلینیک تجریش؛ قلب و عروق، آنکولوژی، شیمی‌درمانی، کلینیک زخم، کلینیک غدد، کلینیک عفونی، تغذیه، روان و طب ایرانی.
https://hamrahclinic.ir/%da%af%d8%a7%d9%84%d8%b1%db%8c/	page	گالری تصاویر همراه کلینیک | محیط و تجهیزات	تصاویر محیط، بخش‌های درمانی و تجهیزات همراه کلینیک در تجریش تهران؛ نگاهی به فضایی که درمان شما در آن انجام می‌شود، از پذیرش تا اتاق شیمی‌درمانی.
https://hamrahclinic.ir/%d8%b3%d9%88%d8%a7%d9%84%d8%a7%d8%aa-%d9%85%d8%aa%d8%af%d8%a7%d9%88%d9%84/	page	سوالات متداول همراه کلینیک | نوبت، هزینه و مراجعه	پاسخ پرتکرارترین پرسش‌های بیماران همراه کلینیک درباره‌ی نوبت‌دهی، ساعات کاری، پارکینگ، بیمه و نحوه‌ی مراجعه به بخش‌های تخصصی.
https://hamrahclinic.ir/team/%d8%af%da%a9%d8%aa%d8%b1-%d9%85%d8%ad%d8%a8%d9%88%d8%a8%d9%87-%d8%ae%d9%84%db%8c%d9%84%db%8c/	team	دکتر محبوبه خلیلی | متخصص قلب و عروق و کاردیو آنکولوژی	دکتر محبوبه خلیلی، متخصص قلب و عروق با بورد تخصصی و فلوشیپ کاردیو آنکولوژی از انستیتو شهید رجایی، مؤسس همراه کلینیک تجریش. نظام پزشکی ۹۴۳۶۰.
https://hamrahclinic.ir/team/%d8%af%da%a9%d8%aa%d8%b1-%d8%a7%d8%ad%d9%85%d8%af-%d9%85%d8%a7%d9%81%db%8c/	team	دکتر احمد مافی | متخصص رادیوتراپی انکولوژی تهران	دکتر احمد مافی، متخصص رادیوتراپی انکولوژی با بورد تخصصی و دانشیار دانشگاه علوم پزشکی شهید بهشتی، در بخش آنکولوژی همراه کلینیک تجریش. نظام پزشکی ۷۹۰۱۸.
https://hamrahclinic.ir/team/%d8%af%da%a9%d8%aa%d8%b1-%d8%ad%d8%b3%db%8c%d9%86-%d8%a7%d8%b5%d8%ba%d8%b1%db%8c-%d9%be%d9%88%d8%b1/	team	دکتر حسین اصغری‌پور | فوق تخصص خون و انکولوژی	دکتر حسین اصغری‌پور، متخصص بیماری‌های داخلی و فوق تخصص خون و انکولوژی، عضو انجمن سرطان اروپا و آمریکا، در همراه کلینیک تجریش. نظام پزشکی ۱۰۳۸۲۴.
https://hamrahclinic.ir/team/%d8%af%d9%83%d8%aa%d8%b1-%d9%81%d8%a7%d8%b7%d9%85%d9%87-%d9%86%d8%a7%d8%a6%d9%8a%d9%86%d9%8a/	team	دکتر فاطمه نائینی | متخصص تغذیه بالینی و رژیم‌درمانی	دکتر فاطمه نائینی، متخصص تغذیه بالینی از دانشگاه علوم پزشکی تهران، عضو بنیاد ملی نخبگان با شاخص علمی ۲۲ و بیش از ۵۰ مقاله بین‌المللی. همراه کلینیک تجریش.
https://hamrahclinic.ir/team/%d8%af%da%a9%d8%aa%d8%b1-%d8%a8%d9%87%d9%86%d8%a7%d8%b2-%d8%a8%d9%87%d8%b2%d8%a7%d8%af%db%8c/	team	دکتر بهناز بهزادی | متخصص رادیوانکولوژی	دکتر بهناز بهزادی، متخصص رادیوانکولوژی با بورد تخصصی رادیوتراپی از دانشگاه شهید بهشتی و عضو انجمن رادیوتراپی و انکولوژی ایران. همراه کلینیک تجریش.
https://hamrahclinic.ir/team/%d8%af%da%a9%d8%aa%d8%b1-%d8%b9%d9%84%db%8c%d8%b1%d8%b6%d8%a7-%d8%aa%d8%a7%d8%aa%db%8c%d9%86%d8%a7/	team	دکتر علیرضا تاتینا | متخصص قلب و کاردیو آنکولوژی	دکتر علیرضا تاتینا، متخصص قلب و عروق با بورد تخصصی و فلوشیپ کاردیو آنکولوژی از انستیتو قلب شهید رجایی، در همراه کلینیک تجریش. نظام پزشکی ۹۷۹۹۵.
https://hamrahclinic.ir/team/%d8%af%da%a9%d8%aa%d8%b1-%d9%85%d9%87%d9%86%d8%a7%d8%b2-%d8%b9%d8%a7%d9%84%d9%85-%d8%b2%d8%a7%d8%af%d9%87-%d8%a8%d8%ad%d8%b1%db%8c%d9%86%db%8c/	team	دکتر مهناز عالم‌زاده | متخصص قلب و اکوکاردیوگرافی	دکتر مهناز عالم‌زاده بحرینی، متخصص قلب و عروق با بورد تخصصی و فلوشیپ اکوکاردیوگرافی از انستیتو شهید رجایی، در همراه کلینیک تجریش. نظام پزشکی ۱۰۳۹۵۷.
https://hamrahclinic.ir/team/%d8%af%da%a9%d8%aa%d8%b1-%d8%b4%d8%a7%d8%af%db%8c-%d8%b4%da%a9%d8%b1%d8%ae%d9%88%d8%a7%d8%b1/	team	دکتر شادی شکرخوار | متخصص قلب و اکوکاردیوگرافی	دکتر شادی شکرخوار، متخصص قلب و عروق از دانشگاه علوم پزشکی شهید بهشتی با فلوشیپ اکوکاردیوگرافی، در بخش قلب همراه کلینیک تجریش. نظام پزشکی ۱۰۵۴۴۹.
https://hamrahclinic.ir/team/%d8%af%da%a9%d8%aa%d8%b1-%d8%ad%d8%b3%d8%a7%d9%85-%d8%af%d8%a7%d9%86%d8%b4-%d8%a2%d9%85%d9%88%d8%b2/	team	دکتر حسام دانش‌آموز | فوق تخصص قلب کودکان	دکتر حسام دانش‌آموز، متخصص کودکان و فوق تخصص قلب کودکان، در کلینیک قلب کودکان همراه در تجریش تهران. تشخیص و پیگیری بیماری‌های مادرزادی قلب.
https://hamrahclinic.ir/team/%d8%af%da%a9%d8%aa%d8%b1-%d9%85%d8%b1%db%8c%d9%85-%d8%a8%d8%af%db%8c%d8%b9-%d8%b2%d8%a7%d8%af%da%af%d8%a7%d9%86/	team	دکتر مریم بدیع‌زادگان | متخصص اعصاب و روان	دکتر مریم بدیع‌زادگان، متخصص اعصاب و روان (روان‌پزشک) با بورد تخصصی از دانشگاه شهید بهشتی، در بخش روان‌پزشکی همراه کلینیک تجریش. نظام پزشکی ۹۰۶۶۷.
